node_id,cluster_id
24954,0
24953,0
24955,0
111,1
219,1
334,1
313,1
455,1
805,1
379,1
405,1
115375,1
398,1
403,1
351,1
19288,1
347,1
348,1
393,1
354,1
758,1
1617,1
341,1
17212,1
372,1
987,1
32627,1
19266,1
3961,1
1183,1
400,1
371,1
359,1
1606,1
19303,1
32623,1
321,1
377,1
19297,1
8838,1
352,1
395,1
336,1
382,1
647,1
406,1
72882,1
386,1
130,1
12781,1
802,1
19277,1
328,1
349,1
356,1
11147,1
89942,1
345,1
337,1
96,1
16584,1
19513,1
19505,1
22556,1
764,1
1930,1
2022,1
6312,1
1324,1
5043,1
221,1
627,1
3463,1
922,1
3366,1
1543,1
7466,1
4138,1
427,1
3460,1
798,1
3459,1
3470,1
34310,1
1327,1
3471,1
19996,1
3469,1
948,1
3465,1
15128,1
228,1
3249,1
2657,1
889,1
17856,1
9089,1
218,1
446,1
3573,1
447,1
7455,1
2465,1
13363,1
12678,1
13581,1
13602,1
6352,1
4858,1
1205,1
630,1
7249,1
5379,1
252,1
13595,1
4555,1
7624,1
15826,1
54538,1
7618,1
67599,1
10111,1
13561,1
73091,1
4505,1
3349,1
13605,1
13597,1
13586,1
13573,1
38150,1
94,1
2117,1
3744,1
2341,1
12184,1
3475,1
83,1
1816,1
314,1
24341,1
2445,1
12928,1
2659,1
41274,1
24338,1
49982,1
4494,1
2290,1
1059,1
13008,1
12913,1
35711,1
3747,1
12466,1
1529,1
35694,1
12935,1
3202,1
5871,1
2233,1
6687,1
6198,1
5380,1
8259,1
797,1
180,1
3048,1
8231,1
4170,1
3117,1
3150,1
21865,1
2118,1
1608,1
2640,1
1657,1
8711,1
3116,1
4562,1
8060,1
4560,1
2470,1
4546,1
53810,1
4553,1
53778,1
1724,1
3113,1
768,1
3134,1
7965,1
877,1
12289,1
56850,1
12298,1
45491,1
1844,1
45478,1
4536,1
7139,1
2302,1
4521,1
2035,1
4541,1
614,1
12299,1
12292,1
4524,1
4538,1
6403,1
1074,1
139,1
2159,1
1704,1
2172,1
2125,1
560,1
2168,1
2158,1
2155,1
819,1
36333,1
52860,1
2173,1
2139,1
2170,1
3937,1
903,1
39090,1
7887,1
29372,1
17839,1
437,1
2447,1
3478,1
615,1
17866,1
772,1
6448,1
1330,1
863,1
450,1
8757,1
5731,1
4348,1
566,1
5031,1
576,1
1638,1
4622,1
66143,1
66146,1
66126,1
90985,1
33777,1
7369,1
68846,1
61828,1
35708,1
1179,1
986,1
43147,1
7615,1
891,1
10448,1
624,1
2018,1
5197,1
2021,1
3462,1
5432,1
4470,1
1125,1
854,1
18100,1
21113,1
6628,1
5258,1
3091,1
3681,1
25511,1
67784,1
119111,1
814,1
11033,1
5700,1
1150,1
981,1
19250,1
29083,1
53628,1
18787,1
69230,1
69226,1
168,1
4290,1
631,1
47625,1
53021,1
36139,1
9633,1
5384,1
9309,1
8017,1
7692,1
43,1
7148,1
13890,1
3032,1
3439,1
6135,1
8620,1
8625,1
750,1
49201,1
1460,1
412,1
2471,1
8624,1
31243,1
765,1
18064,1
13721,1
20021,1
8628,1
57449,1
43309,1
28246,1
1937,1
6531,1
800,1
18089,1
6533,1
2409,1
10801,1
27689,1
2804,1
2801,1
2439,1
10736,1
1725,1
3238,1
688,1
7409,1
7422,1
17745,1
7371,1
7417,1
302,1
5217,1
928,1
6335,1
14111,1
2730,1
14146,1
14114,1
10528,1
14153,1
46785,1
43049,1
14121,1
7516,1
20837,1
6601,1
2330,1
2402,1
23428,1
13049,1
2333,1
7302,1
7299,1
42720,1
31279,1
2338,1
2336,1
2325,1
3639,1
3474,1
38577,1
669,1
7300,1
48223,1
11573,1
41980,1
63637,1
2335,1
6668,1
35214,1
3670,1
21173,1
8164,1
182,1
6173,1
68101,1
3728,1
35209,1
1432,1
2309,1
6752,1
18740,1
79534,1
1085,1
4110,1
4114,1
1611,1
796,1
36494,1
36496,1
2157,1
27144,1
7108,1
7093,1
51740,1
18732,1
18735,1
18730,1
7117,1
18739,1
2918,1
307,1
27262,1
739,1
3476,1
7202,1
306,1
13630,1
6850,1
7593,1
12668,1
7908,1
12677,1
7904,1
24098,1
686,1
14587,1
69809,1
1233,1
46389,1
977,1
3809,1
46391,1
1603,1
21685,1
42780,1
855,1
1686,1
5907,1
2647,1
2254,1
6991,1
7878,1
5096,1
12784,1
207,1
6997,1
5705,1
310,1
6987,1
6999,1
9569,1
12395,1
6993,1
92504,1
6986,1
342,1
4077,1
19784,1
16654,1
19742,1
10293,1
8790,1
19772,1
18569,1
13389,1
1253,1
69818,1
116772,1
6434,1
6330,1
525,1
58595,1
3414,1
27535,1
3420,1
2166,1
4814,1
4842,1
3426,1
27512,1
3428,1
4839,1
10523,1
3442,1
4820,1
4819,1
3425,1
4828,1
4776,1
3401,1
103517,1
126664,1
3406,1
1104,1
4823,1
76260,1
3408,1
3430,1
50550,1
3421,1
40828,1
3416,1
10518,1
3417,1
27533,1
27528,1
3403,1
53156,1
1316,1
198,1
6947,1
261,1
311,1
5304,1
30166,1
2895,1
74,1
12003,1
16105,1
470,1
1083,1
11188,1
811,1
3943,1
4617,1
9738,1
904,1
793,1
939,1
20091,1
20062,1
779,1
374,1
778,1
815,1
1088,1
61400,1
19636,1
20098,1
1219,1
124104,1
1787,1
781,1
7823,1
20085,1
782,1
20069,1
982,1
20059,1
4844,1
3333,1
4999,1
6613,1
20080,1
9505,1
20061,1
20049,1
776,1
45590,1
777,1
36603,1
13960,1
20081,1
780,1
4184,1
20030,1
84264,1
91954,1
20058,1
862,1
4735,1
19545,1
24546,1
1278,1
1790,1
35127,1
1159,1
12232,1
1782,1
24552,1
25142,1
24553,1
2246,1
1710,1
646,1
85,1
2264,1
33803,1
4854,1
378,1
1326,1
21985,1
19925,1
8957,1
28059,1
125855,1
28055,1
18813,1
1087,1
28076,1
2886,1
620,1
28077,1
2963,1
10813,1
28065,1
13158,1
21780,1
5668,1
89471,1
3985,1
38582,1
28072,1
1368,1
22140,1
12216,1
28069,1
28078,1
48,1
47,1
29,1
84044,1
22207,1
3824,1
4688,1
1224,1
22736,1
9817,1
9207,1
44204,1
10988,1
22209,1
2113,1
2321,1
73036,1
2109,1
9766,1
3380,1
52047,1
5011,1
10262,1
52209,1
79381,1
11585,1
73041,1
670,1
36800,1
6025,1
1676,1
740,1
23818,1
2051,1
3760,1
20503,1
6603,1
1315,1
39745,1
859,1
20505,1
74800,1
568,1
39650,1
10815,1
3957,1
834,1
962,1
571,1
8918,1
5531,1
46096,1
2834,1
86,1
2102,1
4451,1
5543,1
1604,1
1309,1
1358,1
1365,1
1295,1
1312,1
1348,1
1325,1
1313,1
1335,1
1367,1
118,1
1281,1
277,1
1291,1
1361,1
1283,1
67756,1
1331,1
67757,1
40251,1
1297,1
1320,1
40243,1
1341,1
15026,1
13393,1
1148,1
12044,1
1622,1
13395,1
88358,1
26613,1
13394,1
77007,1
77002,1
77009,1
21693,1
5626,1
19411,1
1764,1
265,1
44760,1
892,1
62184,1
52757,1
21283,1
25513,1
3197,1
11328,1
1303,1
68229,1
2679,1
104872,1
66569,1
89032,1
10306,1
564,1
1340,1
1176,1
28258,1
1063,1
753,1
50514,1
66113,1
23638,1
2480,1
355,1
1343,1
1583,1
1551,1
4372,1
37131,1
5864,1
8898,1
7619,1
15115,1
84097,1
8894,1
37098,1
12482,1
6309,1
771,1
37111,1
18629,1
2404,1
2353,1
1135,1
810,1
28547,1
13667,1
28537,1
44743,1
10308,1
3437,1
4634,1
28539,1
3267,1
108561,1
28573,1
114147,1
1546,1
9705,1
4615,1
1847,1
16289,1
27711,1
41102,1
2397,1
4921,1
45616,1
64926,1
138307,1
799,1
955,1
13009,1
619,1
1687,1
54837,1
102949,1
11613,1
54839,1
2379,1
2440,1
8372,1
5684,1
3123,1
3574,1
5773,1
6010,1
28431,1
5722,1
3024,1
18765,1
936,1
18766,1
8897,1
18763,1
18776,1
18743,1
38008,1
18721,1
18752,1
7574,1
6118,1
4117,1
5112,1
54315,1
20987,1
4822,1
11331,1
57457,1
2941,1
2689,1
5022,1
69998,1
67054,1
143,1
23447,1
69764,1
67052,1
85872,1
67628,1
1292,1
11836,1
3775,1
4409,1
19295,1
67053,1
3910,1
50010,1
20896,1
38628,1
19247,1
1354,1
3776,1
5004,1
5244,1
26536,1
85877,1
1613,1
1427,1
13160,1
2228,1
9951,1
3882,1
4873,1
4868,1
4880,1
4881,1
4872,1
4874,1
59433,1
7255,1
152,1
2646,1
57544,1
4876,1
3516,1
5899,1
5091,1
930,1
946,1
119588,1
130614,1
5896,1
3582,1
5879,1
24558,1
6157,1
4757,1
1513,1
3027,1
14677,1
2469,1
1815,1
2706,1
584,1
1789,1
41669,1
2710,1
2086,1
6680,1
9305,1
5305,1
19104,1
3370,1
6236,1
5014,1
2839,1
1579,1
2887,1
3164,1
901,1
1402,1
3757,1
8521,1
11332,1
1475,1
10582,1
13107,1
11839,1
874,1
16904,1
11555,1
15913,1
33605,1
9063,1
6234,1
3708,1
1504,1
1972,1
29367,1
1174,1
6494,1
2215,1
6809,1
29661,1
3371,1
748,1
69317,1
73707,1
70468,1
25444,1
766,1
3325,1
933,1
924,1
927,1
29470,1
428,1
2867,1
7623,1
3244,1
7303,1
14249,1
4877,1
29173,1
7740,1
84560,1
893,1
61847,1
3710,1
2684,1
95458,1
128386,1
53772,1
82771,1
18121,1
1371,1
16750,1
7024,1
39092,1
3069,1
7263,1
1892,1
23822,1
62117,1
45553,1
21482,1
123335,1
11307,1
17337,1
33054,1
71107,1
883,1
8349,1
26747,1
2733,1
2742,1
1310,1
1741,1
3572,1
2346,1
17434,1
3988,1
8071,1
64532,1
32981,1
64533,1
69965,1
12302,1
11537,1
4711,1
9323,1
17016,1
4835,1
75751,1
10109,1
2656,1
2466,1
2692,1
1481,1
16912,1
8773,1
1953,1
3829,1
6621,1
6610,1
7659,1
759,1
6604,1
55070,1
6632,1
6619,1
6624,1
6611,1
39483,1
48583,1
3687,1
6625,1
3136,1
3135,1
4595,1
7753,1
9022,1
12780,1
5701,1
8634,1
3332,1
1584,1
2661,1
1794,1
31050,1
8070,1
448,1
3660,1
11895,1
988,1
976,1
1482,1
827,1
896,1
15257,1
10346,1
119721,1
44432,1
4908,1
16441,1
1222,1
10746,1
103781,1
66936,1
10527,1
5030,1
12048,1
809,1
2077,1
27214,1
27271,1
7911,1
5888,1
14034,1
255,1
1843,1
93463,1
27256,1
7900,1
6313,1
19929,1
26820,1
15369,1
18795,1
8117,1
20652,1
26000,1
11734,1
