node_id,cluster_id
1174,0
74175,0
67549,0
77216,0
971,0
65997,0
57100,0
71971,0
29661,1
31013,1
42803,1
105811,1
135553,1
90578,1
96713,1
7608,2
21408,2
21420,2
19033,2
22418,2
135527,2
7904,3
43167,3
56686,3
94623,3
87229,3
132957,3
18241,4
42455,4
16843,4
101819,4
47573,4
69564,4
135567,4
83806,4
13394,5
62001,5
36515,5
46212,5
63656,5
79317,5
10346,6
26953,6
15372,6
114339,6
19865,6
108194,6
101030,6
69230,7
91591,7
67580,7
53534,7
99634,7
101897,7
60176,7
86938,7
137688,7
59549,7
7466,8
53319,8
19908,8
56429,8
56352,8
107081,8
97025,8
103468,8
66053,8
120319,8
13566,9
51864,9
95966,9
62232,9
36054,9
101382,9
105301,9
67817,10
22974,10
44443,10
96888,10
40311,10
12295,11
45294,11
87173,11
128726,11
12065,11
96749,11
92576,11
101046,11
3829,12
11693,12
88262,12
40672,12
32616,12
25824,12
35077,12
105289,12
64533,13
51885,13
87059,13
135571,13
114999,13
137957,13
42871,13
82491,13
117071,13
131801,13
10813,14
83388,14
109580,14
87218,14
71639,14
93084,14
99358,14
86201,14
80849,14
125104,14
119643,15
42007,15
119188,15
112228,15
54697,16
19931,16
13730,16
14077,16
123089,16
63687,17
73850,17
67099,17
13631,17
126815,17
94102,17
77279,17
137714,17
25433,17
4563,18
47203,18
50113,18
56344,18
101379,18
135467,18
135477,18
83838,18
90603,18
7463,19
39214,19
39223,19
39221,19
60389,19
44246,19
437,20
9607,20
11813,20
54447,20
77008,20
57876,20
86327,20
108828,20
12263,21
46284,21
38172,21
130746,21
4835,22
70592,22
37145,22
37784,22
104270,22
27570,22
83756,22
66096,22
137737,22
303,23
54717,23
109883,23
13001,23
52441,23
122878,23
4421,24
19054,24
97207,24
67874,24
86036,24
110348,24
88730,24
21356,25
601,25
79325,25
67811,25
12236,25
122495,25
119525,25
94484,25
138012,25
106440,25
9318,26
25418,26
39862,26
32260,26
25922,26
41791,26
92577,26
12339,27
46603,27
48146,27
9352,27
52740,27
92628,27
7626,28
18441,28
34904,28
18427,28
27152,28
27351,28
121562,28
92761,28
42021,29
35485,29
35248,29
74632,29
78527,29
63485,29
471,30
19061,30
10204,30
4445,30
83787,30
53865,30
9076,31
64789,31
29377,31
24515,31
97295,31
12029,32
41562,32
45685,32
45364,32
27410,32
47487,32
77731,33
49612,33
70848,33
45829,33
3465,34
18177,34
57972,34
117097,34
112081,34
13641,35
35009,35
66747,35
38783,35
49997,35
12253,35
129354,35
25514,36
53938,36
8447,36
59093,36
83685,36
77680,36
101070,36
128386,37
37601,37
44909,37
8196,37
98833,37
103456,37
122740,37
15026,38
54801,38
25037,38
32113,38
91534,38
68863,39
5459,39
86774,39
86113,39
57502,39
88358,40
36881,40
34607,40
84606,40
19689,40
51201,40
87254,40
76078,40
135558,40
98357,40
6551,41
47687,41
